序号,题目,答案,选项A,选项B,选项C,选项D,参考/链接/来源,备忘,校验人Comments（如有,,,,,,,,,,,
1,以下哪种是AI的“人格”,B,敏感型人格,讨好型人格,讨坏型人格,偏执型人格,https://news.qq.com/rain/a/20250307A08SIQ00,,,,,,,,,,,,,
2,AI的尽头是什么,A,电力,算力,脑力,人力,https://www.stcn.com/article/detail/1661534.html,,,,,,,,,,,,,
3,以下哪位AI当前最容易成为你的“好友”,C,Deepseek,豆包,元宝,Kimi,元宝接入微信，可加好友,,,,,,,,,,,,,
4,听说人类在「模仿人类行为」的比赛中输了！是谁在图灵测试大胜人类？,D,GPT-4o,ELIZA,GPT-4.5-NO PERSONA,GPT-4.5-PERSONA,https://finance.sina.com.cn/roll/2025-04-02/doc-inerutki9241864.shtml,,,,,,,,,,,,,
5,AI能够熟练地独立烹饪以下哪种食物,B,萝卜汤,海龟汤,鲫鱼汤,商汤,流行的AI海龟汤游戏,,,,,,,,,,,,,
6,以下哪种噪音是AI忍所不能忍的！,A,逻辑矛盾的指令,持续高分贝电钻,带偏见或错误的数据,用户的脏话攻击,灵感来源于面条关于噪音的朋友圈，在Gemini的帮助下完成本题，它说它最不能忍A,,,,,,,,,,,,,
7,没有人会记住第二名，除非它是a16z发布的2025年全球生成式AI消费级网页版应用排行榜的第二名：t,C,ChatGPT,Perplexity,Deepseek,character.ai,https://finance.eastmoney.com/a/202503073339712613.html,,,,,,,,,,,,,
8,以下不是2025年2-3月大陆买量投流市场“三国杀”成员之一的是哪位,D,腾讯元宝,夸克,豆包,Kimi,https://m.thepaper.cn/newsDetail_forward_30584829,,,,,,,,,,,,,
9,黄仁勋是做什么工作的？,B,AI哲学导师,AI军火大亨,AI研究教授,AI伦理大使,"英伟达的GPU是AI的重要基建
https://www.orientaldaily.com.my/news/business/2025/03/19/720035
英伟达新定位https://www.stcn.com/article/detail/1598901.html",,,,,,,,,,,,,
10,AI Agent的魅力在于它让AI从“聊天家”变成了什么？,A,独立智能助理,礼貌客服代表,迅猛编程小子,抽象灵魂画手,https://cloud.tencent.com/developer/article/2478556,,,,,,,,,,,,,
11,以下哪句歌词最贴合当下用户对AI工具的普遍心态？,C,你是电，你是光，你是唯一的神话,你好毒，你好毒，你好毒呜呜呜,就请你给我多一点点时间，再多一点点温柔，让我欢喜让我忧,我们一起学猫叫，一起喵喵喵喵喵,普遍心态：爱恨交织，欢喜又忧愁,,,,,,,,,,,,,
12,诺奖得主杰弗里辛顿对AI的预测里，最担忧是,D,把电通通用光,让创意消失,始终无法理解人类情感,硅基大人战胜碳基,https://cn.wicinternet.org/2024-06/19/content_37388941.htm,,,,,,,,,,,,,
13,糟糕！AI训练数据惨遭碳基生物蓄意污染！以下哪种魔法咒语能够修正问题？,B,昏昏倒地,原形立现,滑稽滑稽,阿瓦达索命,,,,,,,,,,,,,,
14,以下哪位是AI界扫地僧,A,数据标注员,保洁阿姨大叔,数学研究员,算法工程师,,,,,,,,,,,,,,
15,以下哪项是谷歌DeepMind老师2025年4月初的巨著,C,AI使用全攻略,人类投降方法,人类自保指南,AI指令大全,https://www.163.com/dy/article/JSHRCV9U05119FMA.html,,,,,,,,,,,,,
16,一切为了AI！马斯克近期被控干了什么事？,D,非法并购,非法营销,非法融资,非法发电,https://www.stcn.com/article/detail/1661534.html,,,,,,,,,,,,,
17,xAI和X的关系怎么样，是什么关系？,B,水中捞月,近水楼台,水火不容,萍水相逢,https://stcn.com/article/detail/1624341.html,,,,,,,,,,,,,
18,2023年底，OpenAI大型宫斗的主角是谁？,A,奥特曼,苏茨克维,纳德拉,布罗克曼,,,,,,,,,,,,,,
19,AlphaGo曾在对战中使出过什么绝技？,C,留一手,无情铁手,神之一手,回春妙手,,,,,,,,,,,,,,
20,以下哪项不是ChatGPT近期重点更新或强化的功能,D,Image,Python,Memory,Telephone,25Q1更新图像生成，Python驱动数据分析，全域记忆,,,,,,,,,,,,,
21,AI在进行强化学习的过程中，最喜欢听到的一句话是什么？,B,Bad move!,Good move!,New state,Keep trying.,,,,,,,,,,,,,,
22,生成对抗网络(GAN)的工作过程像是在做什么？,A,警察抓小偷,老师教学生,厨师做牛排,骑手送外卖,,,,,,,,,,,,,,
23,谷歌的AI产品是什么星座的？,C,水瓶座,天秤座,双子座,天蝎座,Gemini,,,,,,,,,,,,,
24,当AI自信地给出你一个完全错误的答案，还编得有鼻子有眼的，这是AI怎么了？,D,生病了,太累了,说谎了,幻觉了,,,,,,,,,,,,,,
25,以下哪个技能最有可能是Gork3未来的特长？,B,正直善良,阴阳怪气,公平正义,两面三刀,梗：用X训练AI,,,,,,,,,,,,,
26,Prompt工程师岗位没有以前那么吃香的原因是什么？,A,AI更能听懂人话了,老板主张降本增效,AI已经实现自我指挥,7天速成班过多,,,,,,,,,,,,,,
27,以下哪个不是AI的常用句式,C,不是……而是,你正在……,我不懂……,抱歉……,,,,,,,,,,,,,,
28,以下哪个是当前AI无人驾驶无法解决的难题？,D,成本过高,夜间看不清路况,规划最优路径,极端天气,,,,,,,,,,,,,,
29,如果你对着你的AI智能音箱大喊“闭嘴”，它大概率会怎么样？,B,对不起，我能问下为什么吗,播放《闭嘴》这首歌,不可以，暂不支持闭嘴,立刻闭嘴,,,,,,,,,,,,,,
30,以下哪件事是人形机器人不擅长的,A,回应人类的情感,搬运箱子到指定地点,转手绢扭秧歌,冲泡一杯美味咖啡,,,,,,,,,,,,,,
